rank,topic_ko,topic_en,macro,llm_centric,accepted_2023_2026,score,growth_rel_per_year,growth_per_year,share_2025_2026,open_frac,heavy_frac,llm_frac,theory_frac,reviewer_value_pct,iclr_accept_rate_2024_2026,top10_stability,pct_growth,pct_value,pct_open,pct_lowbar,pct_uncrowd
1,MCMC와 신경 샘플러,MCMC and Neural Samplers,"확률, 불확실성, 인과",0,272,0.7335,0.1843,0.0415,0.00696,0.0846,0.0147,0.0037,0.2904,91.3,0.459,0.969,0.7523,0.9128,0.5229,0.8807,0.2661
2,온라인 학습 이론,Online Learning Theory,"이론, 최적화",0,246,0.7083,-0.1136,-0.2182,0.00471,0.1098,0.0081,0.0081,0.6016,91.7,0.41,0.894,0.3486,0.9174,0.7706,0.9541,0.6606
3,플로우 매칭과 정규화 플로우,Flow Matching and Normalizing Flows,생성 모델,0,273,0.6915,0.6963,0.4868,0.00839,0.0769,0.033,0.0293,0.1209,79.4,0.399,0.792,0.945,0.7936,0.4083,0.6972,0.1376
4,"메커니즘 설계, 시장과 경매","Mechanism Design, Markets and Auctions","이론, 최적화",0,316,0.6775,0.0426,-0.0814,0.00706,0.0886,0.0222,0.0728,0.4082,84.4,0.344,0.824,0.6239,0.844,0.5505,0.8532,0.2569
5,계산 신경과학과 신경 회로,Computational Neuroscience and Neural Circuits,AI for Science,0,361,0.6716,-0.0122,-0.1301,0.0078,0.1911,0.0332,0.0471,0.0305,87.6,0.328,0.756,0.5138,0.8761,1.0,0.6881,0.2018
6,딥페이크 탐지와 얼굴 인식,Deepfake Detection and Face Recognition,"비전, 멀티모달",0,136,0.6548,0.7281,0.5205,0.00388,0.0735,0.0662,0.1691,0.0221,66.5,0.163,0.582,0.9541,0.6651,0.344,0.4312,0.7615
7,게임 이론과 내쉬 균형 학습,Learning in Games and Equilibria,"이론, 최적화",0,247,0.6491,-0.2393,-0.3305,0.00472,0.1296,0.0121,0.0121,0.5425,90.8,0.351,0.578,0.1284,0.9083,0.8807,0.9266,0.6514
8,SGD 수렴 이론,SGD Convergence Theory,"이론, 최적화",0,256,0.6381,-0.1565,-0.2578,0.00499,0.1289,0.0078,0.0156,0.6602,63.3,0.313,0.472,0.2752,0.633,0.8624,0.9633,0.5872
9,인간 모션 생성과 애니메이션,Human Motion Generation and Animation,생성 모델,0,179,0.6317,0.5317,0.3447,0.00577,0.1006,0.0726,0.2067,0.0,56.9,0.324,0.456,0.9083,0.5688,0.7064,0.367,0.4771
10,인과 표현 학습과 식별성,Causal Representation Learning,"확률, 불확실성, 인과",0,131,0.6312,-0.164,-0.265,0.00259,0.084,0.0076,0.0992,0.2443,70.6,0.24,0.434,0.2477,0.7064,0.5138,0.9725,0.9541
11,"리만 기하, 위상 데이터 분석",Riemannian Geometry and Topological Data Analysis,"그래프, 기하",0,279,0.6266,-0.0121,-0.1319,0.00655,0.0968,0.0323,0.0215,0.1935,79.4,0.325,0.144,0.5229,0.7936,0.6284,0.7202,0.367
12,양자 머신러닝,Quantum Machine Learning,AI for Science,0,126,0.6252,-0.0438,-0.1601,0.00314,0.1825,0.0397,0.0238,0.381,50.0,0.207,0.348,0.4679,0.5,0.9908,0.5963,0.8716
13,등변 신경망과 대칭성,Equivariance and Symmetry,"그래프, 기하",0,187,0.6197,-0.1346,-0.2395,0.00379,0.0802,0.016,0.0107,0.246,78.4,0.361,0.29,0.3119,0.7844,0.4771,0.8716,0.7982
14,트랜스포머 표현력과 길이 일반화,Transformer Expressivity and Length Generalization,"딥러닝의 과학, 해석",0,228,0.6179,0.1752,0.0322,0.00602,0.1579,0.136,0.4956,0.2939,87.6,0.387,0.4,0.7339,0.8761,0.9541,0.1376,0.4495
15,인과 발견과 구조 학습,Causal Discovery and Structure Learning,"확률, 불확실성, 인과",0,257,0.6064,0.0203,-0.1026,0.00607,0.0428,0.0233,0.0545,0.3113,92.2,0.314,0.256,0.5505,0.922,0.0642,0.8165,0.4312
16,확산 모델 이론과 샘플링,Diffusion Model Theory and Sampling,생성 모델,0,610,0.6,0.2364,0.0856,0.01693,0.0918,0.0393,0.0721,0.2148,61.9,0.422,0.142,0.789,0.6193,0.5872,0.6055,0.0
17,학습 동역학과 특징 학습 이론,Training Dynamics and Feature Learning,"딥러닝의 과학, 해석",0,300,0.5954,-0.171,-0.2719,0.00603,0.16,0.0333,0.05,0.3133,83.5,0.414,0.144,0.2294,0.8349,0.9725,0.6789,0.4404
18,자기회귀 이미지 생성,Autoregressive Image Generation,생성 모델,0,132,0.5913,1.3996,1.105,0.00494,0.1364,0.1591,0.2045,0.0152,35.3,0.371,0.282,1.0,0.3532,0.8991,0.1009,0.6055
19,고차원 통계와 학습 이론,High-Dimensional Statistics and Learning Theory,"이론, 최적화",0,662,0.5867,-0.1785,-0.2762,0.01234,0.0997,0.0136,0.0121,0.5906,96.8,0.354,0.166,0.211,0.9679,0.6881,0.8991,0.0183
20,"희소, 선형 어텐션 설계",Sparse and Linear Attention,"효율, 시스템",0,330,0.572,0.6524,0.4497,0.01028,0.1061,0.1939,0.4697,0.203,80.3,0.36,0.2,0.9266,0.8028,0.7523,0.0459,0.0917
21,클러스터링 알고리즘,Clustering Algorithms,"이론, 최적화",0,297,0.5706,-0.0654,-0.178,0.00713,0.0572,0.0135,0.0303,0.266,77.5,0.304,0.026,0.4495,0.7752,0.1927,0.9083,0.2477
22,"EEG, fMRI 뇌 디코딩",Brain Decoding from EEG and fMRI,AI for Science,0,266,0.5651,0.5978,0.4047,0.0078,0.1165,0.2293,0.1241,0.0,72.9,0.268,0.155,0.9174,0.7294,0.8165,0.0092,0.1927
23,신경망 일반화와 암기,Generalization and Memorization,"딥러닝의 과학, 해석",0,232,0.5642,-0.2921,-0.3782,0.00444,0.1466,0.0345,0.0431,0.4267,82.6,0.273,0.072,0.0734,0.8257,0.9266,0.6697,0.7064
24,"비볼록, 바이레벨 최적화",Nonconvex and Bilevel Optimization,"이론, 최적화",0,385,0.5624,-0.2037,-0.2992,0.00758,0.0909,0.0104,0.0156,0.6104,83.5,0.337,0.022,0.1835,0.8349,0.5688,0.9358,0.211
25,"멀티암드, 문맥적 밴딧",Multi-Armed and Contextual Bandits,"강화학습, 제어",0,421,0.5596,-0.2232,-0.3154,0.0081,0.1306,0.0095,0.0261,0.791,64.7,0.335,0.064,0.1468,0.6468,0.8899,0.945,0.1651
26,"ReLU 신경망 근사, 손실 지형",ReLU Network Approximation and Landscapes,"이론, 최적화",0,358,0.5587,-0.2422,-0.334,0.0067,0.1173,0.0168,0.0335,0.4274,74.3,0.318,0.006,0.1193,0.7431,0.8257,0.8624,0.3486
27,전이 가능한 적대적 공격,Transferable Adversarial Attacks,"신뢰성, 안전, 프라이버시",0,187,0.5578,0.0364,-0.088,0.00439,0.1123,0.0535,0.2781,0.0321,23.8,0.198,0.018,0.6147,0.2385,0.8073,0.5321,0.7156
28,알고리즘 공정성,Algorithmic Fairness,"신뢰성, 안전, 프라이버시",0,226,0.5573,-0.2038,-0.2999,0.00429,0.1239,0.0265,0.031,0.2301,53.7,0.268,0.022,0.1743,0.5367,0.8532,0.789,0.7248
29,컨포멀 예측,Conformal Prediction,"확률, 불확실성, 인과",0,160,0.556,0.1767,0.033,0.00454,0.0437,0.0063,0.0563,0.35,2.8,0.392,0.172,0.7431,0.0275,0.0826,0.9817,0.6972
30,이미지 복원과 초해상화,Image Restoration and Super-Resolution,"비전, 멀티모달",0,271,0.5537,0.2349,0.0872,0.00642,0.0517,0.0258,0.0295,0.0332,32.1,0.226,0.049,0.7706,0.3211,0.1284,0.7982,0.3945
31,스파이킹 신경망(SNN),Spiking Neural Networks,"효율, 시스템",0,188,0.5514,0.2451,0.0938,0.00479,0.0585,0.0372,0.0372,0.0479,29.4,0.3,0.034,0.7982,0.2936,0.211,0.633,0.633
32,물리 시뮬레이션 대리 모델,Neural Surrogates for Physics Simulation,AI for Science,0,200,0.5495,0.289,0.131,0.00545,0.055,0.085,0.045,0.045,75.7,0.276,0.034,0.8257,0.7569,0.156,0.3028,0.5138
33,그래프 생성과 동적 그래프,Graph Generation and Dynamic Graphs,"그래프, 기하",0,338,0.5495,0.0588,-0.069,0.00824,0.0976,0.0385,0.0207,0.213,46.3,0.312,0.0,0.633,0.4633,0.6514,0.6147,0.156
34,NAS와 칩 설계 자동화,NAS and Chip Design Automation,"효율, 시스템",0,136,0.547,0.0291,-0.096,0.00341,0.0735,0.0735,0.25,0.0735,73.4,0.239,0.021,0.5872,0.7339,0.344,0.3486,0.8532
35,동역학계 학습과 신경 ODE,Dynamical Systems and Neural ODEs,AI for Science,0,300,0.5459,-0.022,-0.1407,0.00694,0.0733,0.0367,0.03,0.22,79.4,0.321,0.0,0.4954,0.7936,0.3303,0.6422,0.2844
36,"베이지안, 블랙박스 최적화",Bayesian and Black-Box Optimization,"이론, 최적화",0,263,0.544,-0.0739,-0.1853,0.00556,0.0798,0.0304,0.0684,0.3194,57.8,0.269,0.0,0.422,0.578,0.4587,0.7339,0.4954
37,"강화학습 이론, 표본 복잡도",RL Theory and Sample Complexity,"강화학습, 제어",0,356,0.5431,-0.2192,-0.3123,0.00651,0.1489,0.0225,0.0169,0.6657,53.2,0.365,0.014,0.156,0.5321,0.9358,0.844,0.3853
38,추천 시스템,Recommender Systems,"시계열, 표 데이터, 추천",0,160,0.5424,0.1344,-0.0021,0.00383,0.0625,0.0437,0.2562,0.1187,38.1,0.2,0.006,0.6881,0.3807,0.2706,0.5688,0.7706
39,확산 모델 기반 역문제,Diffusion Models for Inverse Problems,생성 모델,0,221,0.539,0.1336,-0.0037,0.00533,0.0362,0.0271,0.0045,0.1357,42.7,0.321,0.004,0.6789,0.4266,0.0275,0.7706,0.5321
40,노이즈 레이블과 준지도 학습,Noisy Labels and Semi-Supervised Learning,"평가, 데이터",0,287,0.5317,-0.1879,-0.2856,0.00541,0.0801,0.0244,0.0453,0.2195,73.4,0.263,0.0,0.2018,0.7339,0.4679,0.8073,0.5229
41,멀티모달 융합과 모달리티 불균형,Multimodal Fusion and Modality Imbalance,"비전, 멀티모달",0,246,0.5294,0.444,0.2701,0.00671,0.1016,0.122,0.2602,0.0976,38.5,0.211,0.016,0.8899,0.3853,0.7248,0.1743,0.3303
42,특징 기여도와 반사실적 설명,Feature Attribution and Counterfactual Explanations,"딥러닝의 과학, 해석",0,174,0.5248,-0.1697,-0.2711,0.00361,0.0747,0.023,0.0862,0.1264,52.8,0.235,0.005,0.2385,0.5275,0.3853,0.8257,0.8349
43,트랜스포머 구조와 학습 동역학,Transformer Architecture and Training Dynamics,"딥러닝의 과학, 해석",0,252,0.5202,-0.0122,-0.1313,0.00578,0.1587,0.131,0.3452,0.2183,69.3,0.33,0.006,0.5046,0.6927,0.9633,0.156,0.4679
44,처치 효과 추정과 인과 추론,Treatment Effect Estimation,"확률, 불확실성, 인과",0,293,0.5165,-0.0695,-0.1812,0.00673,0.0512,0.0137,0.0239,0.3379,57.3,0.278,0.0,0.4312,0.5734,0.1193,0.8899,0.3211
45,최적 수송과 와서스타인 거리,Optimal Transport and Wasserstein Distances,"이론, 최적화",0,132,0.5151,-0.0795,-0.1912,0.0031,0.0606,0.0379,0.0,0.3106,56.4,0.425,0.004,0.4128,0.5642,0.2294,0.6239,0.8807
46,인체 자세 추정과 3D 복원,Human Pose Estimation and 3D Reconstruction,"비전, 멀티모달",0,214,0.5142,0.2354,0.0884,0.00491,0.0467,0.0607,0.0561,0.0093,39.9,0.321,0.0,0.7798,0.3991,0.1009,0.4954,0.6147
47,단백질 언어 모델과 유전체,Protein Language Models and Genomics,AI for Science,0,228,0.5128,0.3096,0.1491,0.00661,0.1009,0.2193,0.5175,0.0175,56.0,0.244,0.006,0.844,0.5596,0.7156,0.0183,0.3578
48,심층 강화학습 알고리즘,Deep RL Algorithms,"강화학습, 제어",0,531,0.5106,-0.0337,-0.1513,0.01104,0.0979,0.049,0.0829,0.3164,61.9,0.303,0.0,0.4771,0.6193,0.6606,0.5596,0.0459
49,3D 가우시안 스플래팅,3D Gaussian Splatting,"비전, 멀티모달",0,247,0.5083,1.1181,0.8684,0.00743,0.0405,0.0688,0.0121,0.004,42.7,0.367,0.026,0.9817,0.4266,0.0367,0.4037,0.2202
50,"그래프 표현, 대조 학습",Graph Representation and Contrastive Learning,"그래프, 기하",0,348,0.505,-0.0817,-0.1926,0.00781,0.0948,0.0517,0.0201,0.1034,67.9,0.209,0.0,0.4037,0.6789,0.6147,0.5505,0.1835
51,분산 최적화와 통신 압축,Distributed Optimization and Communication Compression,"이론, 최적화",0,164,0.5037,-0.1578,-0.2589,0.00318,0.0915,0.0366,0.0366,0.6585,44.0,0.282,0.0,0.2661,0.4404,0.578,0.6514,0.8624
52,테스트 시점 적응(TTA),Test-Time Adaptation,"연합, 연속, 전이 학습",0,109,0.5032,0.1035,-0.0305,0.00284,0.0826,0.055,0.1284,0.0917,3.7,0.362,0.014,0.6697,0.0367,0.4862,0.5138,0.9358
